When,Latitude,Longitude,Magnitude,Epicentre,Remarks
2015/08/30	19:02,27.72,85.75,5.0,Sindhupalchowk,NSC
2015/08/31	23:33,27.92,85.69,4.2,Sindhupalchowk,NSC
2015/09/02	04:51,27.64,86.19,4.4,Dolakha,NSC
2015/09/03	5:10,27.75,86.01,4.3,Sindhupalchowk,NSC
2015/09/09	18:23,27.82,86.24,4.0,Dolakha,NSC
2015/09/16	20:37,27.60,86.19,4.2,Dolakha,NSC
2015/09/20	04:05,27.76,86.37,4.0,Dolakha,NSC
2015/09/22	12:17,27.74,85.07,4.5,Dhading,NSC
2015/09/29	16:39,27.77,85.87,4.6,Sindhupalchowk,NSC
2015/10/05	13:18,27.71,86.15,4.8,Dolakha,NSC
2015/10/05	13:21,27.71,86.10,4.2,Dolakha,NSC
2015/10/06	17:47,27.69,86.09,4.2,Dolakha,NSC
2015/10/07	05:15,27.68,86.08,4.2,Dolakha,NSC
2015/10/08	13:00,27.57,85.31,4.0,Lalitpur,NSC
2015/10/08	21:58,27.96,85.54,4.1,Sindupalchowk,NSC
2015/10/16	14:28,27.71,86.16,4.2,Dolakha,NSC
2015/10/17	23:46,27.8,86.3,4.2,Dolakha,NSC
2015/10/31	09:28,28.03,85.23,4.3,Rasuwa,NSC
2015/11/12	15.45,27.99,85.65,4.2,Sindupalchok,NSC
2015/11/17	18:55,28.02,85.28,4.3,Rasuwa,NSC
2015/11/19	10:00,27.89,85.75,5.3,Sindupalchok,NSC
2015/11/19	17:44,27.77,85.88,4.0,Sindhupalchok,NSC
2015/11/24	17:00,27.87,85.29,4.0,Nuwakot,NSC
2015/11/24	18:09,28.15,84.81,4.4,Gorkha,NSC
2015/11/25	00:42,27.87,85.77,4.1,Sindhupalchowk,NSC
2015/11/27	15:23,27.63,85.53,4.1,kavrepalanchok,NSC
2015/11/30	6:10,27.78,85.39,4.1,Kathmandu,NSC
2015/12/07	7:27,27.86,86.19,4.0,Dolakha,NSC
2015/12/13	08:45,28.04,85.02,4.1,Dhading,NSC
2015/12/23	08:59,27.79,86.08,4.1,Dolakha,NSC
2015/12/28	03:52,27.7,86.12,4.2,Dolakha,NSC
2015/12/31	07:41,27.86,85.72,4.3,Sindhupalchowk,NSC
2016/01/02	03:15,28.01,85.80,4.2,Sindhupalchowk,NSC
2016/01/04	18:47,27.75,86.12,4.1,Dolakha,NSC
2016/01/09	23:28,27.48,86.01,4.4,Ramechhap,NSC
2016/01/15	18:50,27.63,86.25,4.1,Dolakha,NSC
2016/01/15	22:59,27.65,86.23,4.3,Dolakha,NSC
2016/01/22	01:07,28.06,85.09,4.6,Nuwakot,NSC
2016/01/27	20:42,27.83,85.83,4.4,Sindhupalchowk,NSC
2016/02/05	22:05,27.95,85.52,5.5,Sindhupalchowk,NSC
2016/02/10	22:12,27.84,85.71,4.6,Sindhupalchowk,NSC
2016/02/13	20:22,27.81,85.72,4.3,Sindhupalchowk,NSC
2016/02/20	03:54,27.86,85.29,4.1,Nuwakot,NSC
2016/02/21	23:54,28.08,84.76,5.5,Gorkha,NSC
2016/02/24	15:07,27.80,85.74,5.4,Sindhupalchok,NSC
2016/03/01	16:30,27.79,85.73,4.3,Sindhupalchowk,NSC
2016/03/06	07:10,27.69,85.93,4.0,Sindhupalchowk,NSC
2016/03/11	15:13,27.90,85.87,4.2,Sindhupalchowk,NSC
2016/03/13	11:00,27.83,84.90,4.8,Dhading,NSC
2016/03/15	03:12,27.84,85.73,4.5,Sindhupalchowk,NSC
2016/03/17	10:59,27.34,86.27,4.0,Okhaldhunga,NSC
2016/03/30	18:11,27.89,85.73,4.7,Sindhupalchowk,NSC
2016/03/31	04:26,27.93,85.59,4.0,Sindhupalchowk,NSC
2016/04/04	10:16,27.72,86.09,4.7,Dolakha,NSC
2016/04/09	19.05,27.65,85.31,4.5,Lalitpur,NSC
2016/04/12	20:26,27.56,86.17,4.4,Dolakha,NSCN
